13.05.2017 07:00;11.7;713.4;81;0.0;0;;8.6;;0;25.8;
14.05.2017 07:00;13.5;714.7;78;4.0;1;;9.7;;0;26.0;
15.05.2017 07:00;13.5;719.4;81;0.0;0;;10.2;;0;27.4;
16.05.2017 07:00;11.4;718.7;78;0.0;0;;7.6;;0;28.1;
17.05.2017 07:00;12.8;715.3;67;4.0;1;;6.7;;0;31.0;
18.05.2017 07:00;15.5;718.0;65;3.0;1;;9.0;;0;30.8;
19.05.2017 07:00;15.1;713.9;83;4.0;3;;12.3;;0;24.8;
20.05.2017 07:00;14.8;716.8;96;0.0;0;;14.1;;0;27.0;
21.05.2017 07:00;11.4;716.0;79;0.0;0;;7.8;;0;29.0;
22.05.2017 07:00;14.9;712.9;80;1.7;1;;11.5;;0;25.8;
23.05.2017 07:00;19.0;712.4;72;0.0;0;;13.9;;0;25.7;
24.05.2017 07:00;15.0;714.5;100;0.0;0;;15.0;;0;29.4;
25.05.2017 07:00;17.4;712.2;75;0.0;0;;12.9;;0;33.4;
26.05.2017 07:00;20.2;711.2;62;0.0;0;;12.6;;0;32.5;
27.05.2017 07:00;22.4;711.7;60;4.0;1;;14.1;;0;35.5;
28.05.2017 07:00;20.5;712.3;63;0.0;0;;13.2;;0;34.9;
29.05.2017 07:00;22.0;710.8;52;0.0;0;;11.6;;0;30.2;
30.05.2017 07:00;18.8;712.6;85;0.0;0;;16.2;;0;
01.06.2017 07:00;16.5;715.5;95;0.0;0;;15.7;;0;30.3;
02.06.2017 07:00;18.8;714.0;83;3.7;2;;15.9;;0;31.0;
03.06.2017 07:00;19.6;712.5;76;0.0;0;;15.3;;0;35.0;
04.06.2017 07:00;18.4;712.1;91;0.0;0;;16.9;;0;29.0;
05.06.2017 07:00;17.8;711.5;90;6.0;4;;16.2;;0;20.0;
06.06.2017 07:00;15.0;711.7;89;2.6;4;;13.2;;0;25.0;
07.06.2017 07:00;14.5;715.0;81;0.0;0;;11.2;;0;29.1;
08.06.2017 07:00;15.9;713.9;90;7.0;1;;14.3;;0;33.4;
09.06.2017 07:00;21.5;711.2;66;0.0;0;;14.8;;0;31.4;
10.06.2017 07:00;18.8;712.8;96;4.0;2;;18.2;;0;28.8;
11.06.2017 07:00;19.7;712.8;80;4.0;3;;16.1;;0;35.2;
12.06.2017 07:00;19.6;711.9;71;0.0;0;;14.1;;0;35.0;
13.06.2017 07:00;23.5;711.9;54;4.0;1;;13.7;;0;34.8;
14.06.2017 07:00;23.3;711.7;59;0.0;0;;14.7;;0;36.1;
15.06.2017 07:00;21.0;712.3;74;0.0;0;;16.1;;0;36.5;
16.06.2017 07:00;19.8;713.6;71;0.0;0;;14.3;;0;38.0;
17.06.2017 07:00;21.0;713.8;69;0.0;0;;15.1;;0;35.0;
18.06.2017 07:00;20.0;711.7;73;0.0;0;;15.0;;0;31.4;
19.06.2017 07:00;18.3;713.6;94;4.0;1;;17.3;;0;34.0;
20.06.2017 07:00;24.4;714.5;62;4.0;2;;16.7;;0;34.0;
21.06.2017 07:00;21.4;713.6;84;0.0;0;;18.6;;0;34.5;
22.06.2017 07:00;20.0;713.5;87;4.6;3;;17.7;;0;30.2;
23.06.2017 07:00;19.8;716.5;67;4.0;1;;13.4;;0;32.4;
24.06.2017 07:00;18.8;715.5;62;0.0;0;;11.4;;0;34.0;
25.06.2017 07:00;19.5;713.1;60;0.0;0;;11.6;;0;37.7;
26.06.2017 07:00;24.6;710.5;51;7.0;3;;13.7;;0;39.2;
27.06.2017 07:00;26.0;711.1;67;0.0;0;;19.5;;0;40.7;
28.06.2017 07:00;25.5;710.3;49;4.0;2;;14.1;;0;33.0;
29.06.2017 07:00;20.8;710.5;57;0.0;0;;12.0;;0;31.0;
30.06.2017 07:00;19.0;710.3;85;4.0;1;;16.4;;0;21.4;
01.07.2017 07:00;18.5;714.1;81;6.0;4;;15.2;;0;25.5;
02.07.2017 07:00;16.0;717.0;94;0.0;0;;15.1;;0;25.0;
03.07.2017 07:00;15.7;717.5;86;0.0;0;;13.3;;0;29.0;
04.07.2017 07:00;17.4;714.8;94;0.0;0;;16.4;;0;34.4;
05.07.2017 07:00;24.3;713.8;54;4.0;2;;14.3;;0;37.0;
